Release,Date,Author Count,Commit Count
CakePHP 3.1.3 released,2015-10-25T14:53:24+00:00,0,0
CakePHP 1.3.21 Released,2015-10-31T18:17:25+00:00,0,0
CakePHP 2.6.12 released,2015-11-06T03:26:10+00:00,0,0
CakePHP 2.7.6 released,2015-11-06T03:30:43+00:00,0,0
CakePHP 3.0.15 released,2015-11-06T03:33:12+00:00,0,0
CakePHP 3.1.4 released,2015-11-06T03:48:56+00:00,0,0
CakePHP 2.7.7 Released,2015-11-23T02:29:57+00:00,0,0
CakePHP 3.1.5 released,2015-11-30T03:10:23+00:00,0,0
CakePHP 2.7.8 Released,2015-12-21T19:55:52+00:00,0,0
CakePHP 3.1.6 released,2015-12-23T16:07:38+00:00,0,0
CakePHP 3.2.0-RC1 released,2016-01-03T18:13:01+00:00,0,0
CakePHP 3.1.7 released,2016-01-09T23:14:54+00:00,0,0
CakePHP 2.8.0-RC1 Released,2016-01-13T04:49:25+00:00,0,0
CakePHP 3.1.8 released,2016-01-24T02:07:15+00:00,0,0
CakePHP 2.7.9 Released,2016-01-25T02:48:49+00:00,0,0
CakePHP 3.1.9 released,2016-01-30T03:16:49+00:00,0,0
CakePHP 3.2.0 released,2016-01-30T03:34:51+00:00,0,0
CakePHP 3.1.10 Released,2016-01-31T02:45:20+00:00,0,0
CakePHP 3.2.1 Released,2016-01-31T02:56:35+00:00,0,0
CakePHP 2.7.10 Released,2016-02-06T02:38:51+00:00,0,0
CakePHP 2.8.0 Released,2016-02-07T01:59:33+00:00,0,0
CakePHP 3.2.2 released,2016-02-12T03:14:21+00:00,0,0
CakePHP 3.0.16 Released,2016-02-21T19:40:29+00:00,0,0
CakePHP 3.1.11 Released,2016-02-21T19:43:30+00:00,0,0
CakePHP 3.2.3 released,2016-02-21T19:49:09+00:00,0,0
CakePHP 2.8.1 Released,2016-02-28T03:31:19+00:00,0,0
CakePHP 3.2.4 released,2016-03-07T01:53:59+00:00,0,0
CakePHP 2.6.13 Released,2016-03-14T02:54:40+00:00,0,0
CakePHP 2.7.11 Released,2016-03-14T02:57:55+00:00,0,0
CakePHP 2.8.2 Released,2016-03-14T03:01:17+00:00,0,0
CakePHP 3.0.17 Released,2016-03-14T03:12:46+00:00,0,0
CakePHP 3.1.12,2016-03-14T03:14:44+00:00,0,0
CakePHP 3.2.5 Released,2016-03-14T03:16:42+00:00,0,0
CakePHP 2.8.3 Released,2016-03-29T02:17:27+00:00,0,0
CakePHP 3.0.18 released,2016-03-29T02:26:11+00:00,0,0
CakePHP 3.1.13 released,2016-03-29T02:43:57+00:00,0,0
CakePHP 3.2.6 released,2016-03-29T02:49:23+00:00,0,0
CakePHP 3.2.7 released,2016-04-11T01:25:26+00:00,0,0
CakePHP 3.2.8 released,2016-04-25T01:54:25+00:00,0,0
CakePHP 2.8.4 Released,2016-05-03T02:18:41+00:00,0,0
CakePHP 3.2.9 released,2016-05-17T02:15:10+00:00,0,0
CakePHP 3.2.10 released,2016-05-26T08:22:04+00:00,0,0
CakePHP 2.8.5 Released,2016-06-13T02:15:08+00:00,0,0
CakePHP 3.2.11 released,2016-06-21T03:01:37+00:00,0,0
CakePHP 3.2.12 released,2016-07-09T02:08:27+00:00,0,0
CakePHP 3.3.0-beta released,2016-07-10T01:54:04+00:00,0,0
CakePHP 3.3.0-beta2 released,2016-07-17T02:01:42+00:00,0,0
CakePHP 3.3.0-beta3 released,2016-07-27T02:17:10+00:00,0,0
CakePHP 3.2.13 released,2016-08-02T02:14:27+00:00,0,0
CakePHP 2.8.6 Released,2016-08-03T02:15:04+00:00,0,0
CakePHP 3.3.0-RC1 released,2016-08-06T01:48:10+00:00,0,0
CakePHP 3.2.14 released,2016-08-13T01:58:06+00:00,0,0
CakePHP 3.3.0 released,2016-08-13T02:26:28+00:00,0,0
CakePHP 3.3.1 released,2016-08-20T02:15:55+00:00,0,0
CakePHP 3.3.2 released,2016-08-22T02:15:27+00:00,0,0
CakePHP 3.3.3 released,2016-09-03T02:17:44+00:00,0,0
CakePHP 2.9.0-RC1,2016-09-06T02:18:21+00:00,0,0
CakePHP 2.8.7 Released.,2016-09-10T03:07:15+00:00,0,0
CakePHP 2.8.8 Released,2016-09-15T01:40:56+00:00,0,0
CakePHP 2.8.9 Released,2016-09-19T02:18:18+00:00,0,0
CakePHP 2.9.0 Released,2016-09-19T02:24:27+00:00,0,0
CakePHP 3.3.4 released,2016-09-25T00:59:08+00:00,0,0
CakePHP 3.3.5 Released,2016-09-30T01:33:11+00:00,0,0
CakePHP 2.9.1 Released,2016-10-11T01:36:32+00:00,0,0
CakePHP 3.3.6 released,2016-10-15T01:26:47+00:00,0,0
CakePHP 3.3.7 released,2016-10-29T02:00:38+00:00,0,0
CakePHP 3.3.8 released,2016-11-07T02:19:04+00:00,0,0
